dataset,family,method,method_key,prompts,exact_output_rate,truncated_rate,stopped_rate
MATH500,dflash2,DFlash2-Pairwise-K16-B32,dflash2_pairwise_k16_tb32,128,0.3984375,0.875,0.125
MATH500,dflash2,DFlash2-Pairwise-K16-B64,dflash2_pairwise_k16_tb64,128,0.4140625,0.8828125,0.1171875
MATH500,dflash2,DFlash2-Unary-K16-B32,dflash2_unary_k16_tb32,128,0.4375,0.8828125,0.1171875
MATH500,dflash2,DFlash2-Unary-K16-B64,dflash2_unary_k16_tb64,128,0.3828125,0.8828125,0.1171875
MT-Bench-controlled,original,Sequential-Baseline,baseline,80,nan,0.6375,0.36250000000000004
MT-Bench-controlled,original,Raw-DFlash,dflash,80,0.375,0.6375,0.36250000000000004
MT-Bench-controlled,original,DFlash-Original-DDTree-B16,ddtree_tb16,80,0.3375,0.63125,0.36875
MT-Bench-controlled,original,DFlash-Original-DDTree-B32,ddtree_tb32,80,0.39375,0.63125,0.36875
MT-Bench-controlled,original,DFlash-Original-DDTree-B64,ddtree_tb64,80,0.36875,0.65,0.35
MT-Bench-controlled,dflash2,Sequential-Baseline,baseline,80,nan,0.6375,0.36250000000000004
MT-Bench-controlled,dflash2,Raw-DFlash2,dflash2,80,0.3625,0.63125,0.36875
MT-Bench-controlled,dflash2,DFlash2-Original-DDTree-B7,dflash2_original_ddtree_tb7,80,0.35,0.6375,0.36250000000000004
MT-Bench-controlled,dflash2,DFlash2-Original-DDTree-B16,dflash2_original_ddtree_tb16,80,0.3625,0.64375,0.35624999999999996
MT-Bench-controlled,dflash2,DFlash2-Original-DDTree-B32,dflash2_original_ddtree_tb32,80,0.38125,0.64375,0.35624999999999996
MT-Bench-controlled,dflash2,DFlash2-Original-DDTree-B64,dflash2_original_ddtree_tb64,80,0.4,0.6375,0.36250000000000004
MT-Bench-controlled,dflash2,DFlash2-Pairwise-K16-B7,dflash2_pairwise_k16_tb7,80,0.375,0.64375,0.35624999999999996
MT-Bench-controlled,dflash2,DFlash2-Pairwise-K16-B16,dflash2_pairwise_k16_tb16,80,0.3625,0.65,0.35
MT-Bench-controlled,dflash2,DFlash2-Pairwise-K16-B32,dflash2_pairwise_k16_tb32,80,0.375,0.65625,0.34375
MT-Bench-controlled,dflash2,DFlash2-Pairwise-K16-B64,dflash2_pairwise_k16_tb64,80,0.36875,0.6375,0.36250000000000004
MT-Bench-controlled,dflash2,DFlash2-Unary-K16-B32,dflash2_unary_k16_tb32,80,0.375,0.64375,0.35624999999999996
MT-Bench-controlled,dflash2,DFlash2-Unary-K16-B64,dflash2_unary_k16_tb64,80,0.38125,0.6375,0.36250000000000004
MT-Bench-native,original,Sequential-Baseline,baseline,80,nan,0.6375,0.36250000000000004
MT-Bench-native,original,Raw-DFlash,dflash,80,0.3625,0.625,0.375
