round_index,prompt_index,prompt_id,method,depth,representable,entry_budget,censored_above_budget
2,0,gsm8k:test:264:turn-0:cbccfbeeb182,Unary-FullMass,4,False,,False
2,0,gsm8k:test:264:turn-0:cbccfbeeb182,Unary-FullMass,5,False,,False
2,0,gsm8k:test:264:turn-0:cbccfbeeb182,Unary-FullMass,6,False,,False
2,0,gsm8k:test:264:turn-0:cbccfbeeb182,Unary-FullMass,7,False,,False
2,0,gsm8k:test:264:turn-0:cbccfbeeb182,Unary-Truncated,1,True,1,False
2,0,gsm8k:test:264:turn-0:cbccfbeeb182,Unary-Truncated,2,True,2,False
2,0,gsm8k:test:264:turn-0:cbccfbeeb182,Unary-Truncated,3,True,3,False
2,0,gsm8k:test:264:turn-0:cbccfbeeb182,Unary-Truncated,4,False,,False
2,0,gsm8k:test:264:turn-0:cbccfbeeb182,Unary-Truncated,5,False,,False
2,0,gsm8k:test:264:turn-0:cbccfbeeb182,Unary-Truncated,6,False,,False
2,0,gsm8k:test:264:turn-0:cbccfbeeb182,Unary-Truncated,7,False,,False
2,0,gsm8k:test:264:turn-0:cbccfbeeb182,Pairwise-MassPreserving,1,True,1,False
2,0,gsm8k:test:264:turn-0:cbccfbeeb182,Pairwise-MassPreserving,2,True,2,False
2,0,gsm8k:test:264:turn-0:cbccfbeeb182,Pairwise-MassPreserving,3,True,7,False
2,0,gsm8k:test:264:turn-0:cbccfbeeb182,Pairwise-MassPreserving,4,False,,False
2,0,gsm8k:test:264:turn-0:cbccfbeeb182,Pairwise-MassPreserving,5,False,,False
2,0,gsm8k:test:264:turn-0:cbccfbeeb182,Pairwise-MassPreserving,6,False,,False
2,0,gsm8k:test:264:turn-0:cbccfbeeb182,Pairwise-MassPreserving,7,False,,False
2,0,gsm8k:test:264:turn-0:cbccfbeeb182,Pairwise-after-root,1,True,1,False
2,0,gsm8k:test:264:turn-0:cbccfbeeb182,Pairwise-after-root,2,True,2,False
2,0,gsm8k:test:264:turn-0:cbccfbeeb182,Pairwise-after-root,3,True,7,False
2,0,gsm8k:test:264:turn-0:cbccfbeeb182,Pairwise-after-root,4,False,,False
2,0,gsm8k:test:264:turn-0:cbccfbeeb182,Pairwise-after-root,5,False,,False
2,0,gsm8k:test:264:turn-0:cbccfbeeb182,Pairwise-after-root,6,False,,False
2,0,gsm8k:test:264:turn-0:cbccfbeeb182,Pairwise-after-root,7,False,,False
3,0,gsm8k:test:264:turn-0:cbccfbeeb182,Unary-FullMass,1,True,1,False
3,0,gsm8k:test:264:turn-0:cbccfbeeb182,Unary-FullMass,2,True,8,False
3,0,gsm8k:test:264:turn-0:cbccfbeeb182,Unary-FullMass,3,False,,False
3,0,gsm8k:test:264:turn-0:cbccfbeeb182,Unary-FullMass,4,False,,False
3,0,gsm8k:test:264:turn-0:cbccfbeeb182,Unary-FullMass,5,False,,False
3,0,gsm8k:test:264:turn-0:cbccfbeeb182,Unary-FullMass,6,False,,False
3,0,gsm8k:test:264:turn-0:cbccfbeeb182,Unary-FullMass,7,False,,False
3,0,gsm8k:test:264:turn-0:cbccfbeeb182,Unary-Truncated,1,True,1,False
3,0,gsm8k:test:264:turn-0:cbccfbeeb182,Unary-Truncated,2,True,8,False
3,0,gsm8k:test:264:turn-0:cbccfbeeb182,Unary-Truncated,3,False,,False
3,0,gsm8k:test:264:turn-0:cbccfbeeb182,Unary-Truncated,4,False,,False
3,0,gsm8k:test:264:turn-0:cbccfbeeb182,Unary-Truncated,5,False,,False
3,0,gsm8k:test:264:turn-0:cbccfbeeb182,Unary-Truncated,6,False,,False
3,0,gsm8k:test:264:turn-0:cbccfbeeb182,Unary-Truncated,7,False,,False
3,0,gsm8k:test:264:turn-0:cbccfbeeb182,Pairwise-MassPreserving,1,True,1,False
3,0,gsm8k:test:264:turn-0:cbccfbeeb182,Pairwise-MassPreserving,2,True,8,False
3,0,gsm8k:test:264:turn-0:cbccfbeeb182,Pairwise-MassPreserving,3,False,,False
3,0,gsm8k:test:264:turn-0:cbccfbeeb182,Pairwise-MassPreserving,4,False,,False
3,0,gsm8k:test:264:turn-0:cbccfbeeb182,Pairwise-MassPreserving,5,False,,False
3,0,gsm8k:test:264:turn-0:cbccfbeeb182,Pairwise-MassPreserving,6,False,,False
3,0,gsm8k:test:264:turn-0:cbccfbeeb182,Pairwise-MassPreserving,7,False,,False
3,0,gsm8k:test:264:turn-0:cbccfbeeb182,Pairwise-after-root,1,True,1,False
3,0,gsm8k:test:264:turn-0:cbccfbeeb182,Pairwise-after-root,2,True,8,False
3,0,gsm8k:test:264:turn-0:cbccfbeeb182,Pairwise-after-root,3,False,,False
3,0,gsm8k:test:264:turn-0:cbccfbeeb182,Pairwise-after-root,4,False,,False
3,0,gsm8k:test:264:turn-0:cbccfbeeb182,Pairwise-after-root,5,False,,False
3,0,gsm8k:test:264:turn-0:cbccfbeeb182,Pairwise-after-root,6,False,,False
3,0,gsm8k:test:264:turn-0:cbccfbeeb182,Pairwise-after-root,7,False,,False
4,0,gsm8k:test:264:turn-0:cbccfbeeb182,Unary-FullMass,1,True,1,False
4,0,gsm8k:test:264:turn-0:cbccfbeeb182,Unary-FullMass,2,True,2,False
4,0,gsm8k:test:264:turn-0:cbccfbeeb182,Unary-FullMass,3,True,3,False
4,0,gsm8k:test:264:turn-0:cbccfbeeb182,Unary-FullMass,4,True,5,False
4,0,gsm8k:test:264:turn-0:cbccfbeeb182,Unary-FullMass,5,True,13,False
4,0,gsm8k:test:264:turn-0:cbccfbeeb182,Unary-FullMass,6,True,51,False
4,0,gsm8k:test:264:turn-0:cbccfbeeb182,Unary-FullMass,7,True,153,False
4,0,gsm8k:test:264:turn-0:cbccfbeeb182,Unary-Truncated,1,True,1,False
4,0,gsm8k:test:264:turn-0:cbccfbeeb182,Unary-Truncated,2,True,2,False
4,0,gsm8k:test:264:turn-0:cbccfbeeb182,Unary-Truncated,3,True,3,False
4,0,gsm8k:test:264:turn-0:cbccfbeeb182,Unary-Truncated,4,True,5,False
4,0,gsm8k:test:264:turn-0:cbccfbeeb182,Unary-Truncated,5,True,13,False
4,0,gsm8k:test:264:turn-0:cbccfbeeb182,Unary-Truncated,6,True,51,False
4,0,gsm8k:test:264:turn-0:cbccfbeeb182,Unary-Truncated,7,True,153,False
4,0,gsm8k:test:264:turn-0:cbccfbeeb182,Pairwise-MassPreserving,1,True,1,False
4,0,gsm8k:test:264:turn-0:cbccfbeeb182,Pairwise-MassPreserving,2,True,2,False
4,0,gsm8k:test:264:turn-0:cbccfbeeb182,Pairwise-MassPreserving,3,True,3,False
4,0,gsm8k:test:264:turn-0:cbccfbeeb182,Pairwise-MassPreserving,4,True,6,False
4,0,gsm8k:test:264:turn-0:cbccfbeeb182,Pairwise-MassPreserving,5,True,8,False
4,0,gsm8k:test:264:turn-0:cbccfbeeb182,Pairwise-MassPreserving,6,True,17,False
4,0,gsm8k:test:264:turn-0:cbccfbeeb182,Pairwise-MassPreserving,7,True,18,False
4,0,gsm8k:test:264:turn-0:cbccfbeeb182,Pairwise-after-root,1,True,1,False
4,0,gsm8k:test:264:turn-0:cbccfbeeb182,Pairwise-after-root,2,True,2,False
4,0,gsm8k:test:264:turn-0:cbccfbeeb182,Pairwise-after-root,3,True,3,False
4,0,gsm8k:test:264:turn-0:cbccfbeeb182,Pairwise-after-root,4,True,6,False
4,0,gsm8k:test:264:turn-0:cbccfbeeb182,Pairwise-after-root,5,True,8,False
4,0,gsm8k:test:264:turn-0:cbccfbeeb182,Pairwise-after-root,6,True,17,False
4,0,gsm8k:test:264:turn-0:cbccfbeeb182,Pairwise-after-root,7,True,18,False
